date,description,amount
2026-03-01,Grocery Store,45.50
2026-03-02,Uber Ride,12.00
2026-03-03,Netflix,15.99
2026-03-04,Electric Bill,120.00
2026-03-05,Chipotle,13.50
2026-03-06,Amazon Order,67.20
2026-03-07,Gym Membership,40.00
2026-03-10,Starbucks,6.75
2026-03-12,Gas Station,55.00
2026-03-15,Spotify,9.99
2026-03-18,Dentist Visit,150.00
2026-03-20,Target Shopping,89.30
2026-03-22,Uber Eats,28.00
2026-03-25,Internet Bill,60.00
2026-03-28,Movie Tickets,32.00
2026-03-29,Whole Foods,78.40
2026-03-30,Coffee Shop,4.50
2026-04-01,Rent,1200.00
2026-04-02,Phone Bill,45.00
2026-04-03,Trader Joes,62.30
